method,operation,source,destination
ARP,is-at,172.19.15.95,172.19.15.95
ARP,is-at,172.19.15.94,172.19.15.94
ARP,is-at,172.19.9.73,172.19.9.73
ARP,is-at,172.19.15.136,172.19.15.136
ARP,is-at,172.19.15.135,172.19.15.135
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,is-at,172.19.0.1,172.19.18.158
ARP,is-at,172.19.0.1,172.19.18.158
ARP,is-at,172.19.15.235,172.19.15.235
ARP,is-at,172.19.15.238,172.19.15.238
ARP,is-at,172.19.0.176,172.19.0.176
ARP,is-at,172.19.7.30,172.19.7.30
ARP,is-at,172.19.16.67,172.19.16.67
ARP,is-at,172.19.16.122,172.19.16.122
ARP,is-at,172.19.16.148,172.19.16.148
ARP,is-at,172.19.9.226,172.19.9.226
ARP,is-at,172.19.16.174,172.19.16.174
ARP,is-at,172.19.16.161,172.19.16.161
ARP,is-at,172.19.16.159,172.19.16.159
ARP,is-at,172.19.16.191,172.19.16.191
ARP,is-at,172.19.16.194,172.19.16.194
ARP,is-at,172.19.27.123,172.19.27.123
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,is-at,172.19.0.1,172.19.18.158
ARP,is-at,172.19.0.1,172.19.18.158
ARP,is-at,172.19.17.40,172.19.17.40
ARP,is-at,172.19.17.44,172.19.17.44
ARP,is-at,172.19.17.37,172.19.17.37
ARP,is-at,172.19.17.45,172.19.17.45
ARP,is-at,172.19.7.73,172.19.7.73
ARP,is-at,172.19.24.5,172.19.24.5
ARP,is-at,172.19.14.83,172.19.14.83
ARP,is-at,172.19.17.152,172.19.17.152
ARP,is-at,172.19.17.156,172.19.17.156
ARP,is-at,172.19.17.161,172.19.17.161
ARP,is-at,172.19.17.163,172.19.17.163
ARP,is-at,172.19.17.168,172.19.17.168
ARP,is-at,172.19.17.189,172.19.17.189
ARP,is-at,172.19.17.193,172.19.17.193
ARP,is-at,172.19.18.0,172.19.18.0
ARP,is-at,172.19.17.208,172.19.17.208
ARP,is-at,172.19.18.16,172.19.18.16
ARP,is-at,172.19.18.19,172.19.18.19
ARP,is-at,172.19.18.20,172.19.18.20
ARP,is-at,172.19.12.252,172.19.12.252
ARP,is-at,172.19.18.22,172.19.18.22
ARP,is-at,172.19.18.21,172.19.18.21
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.18.158,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
ARP,who-has,172.19.0.235,172.19.0.1
method,operation,source,destination
ARP,is-at,172.19.0.29,172.19.0.29
ARP,is-at,172.19.11.89,172.19.11.89
ARP,is-at,172.19.0.41,172.19.0.41
ARP,is-at,172.19.15.75,172.19.15.75
ARP,is-at,172.19.0.83,172.19.0.83
ARP,is-at,172.19.1.33,172.19.1.33
ARP,is-at,172.19.16.251,172.19.16.251
